source,target
Hand23,http://www.dil.ie/32044
Hand23,http://www.dil.ie/8031
Hand23,http://www.dil.ie/31705
Hand23,http://www.dil.ie/3904
Hand23,http://www.dil.ie/33928
Hand23,http://www.dil.ie/39986
Hand23,http://www.dil.ie/20161
Hand23,http://www.dil.ie/12912
Hand23,http://www.dil.ie/34804
Hand23,http://www.dil.ie/29367
Hand23,http://www.dil.ie/41880
Hand23,http://www.dil.ie/37388
Hand23,http://www.dil.ie/3242
Hand23,http://www.dil.ie/2
Hand23,http://www.dil.ie/9787
Hand23,http://www.dil.ie/26495
Hand23,http://www.dil.ie/26931
Hand23,http://www.dil.ie/25035
Hand23,http://www.dil.ie/39637
Hand23,http://www.dil.ie/22221
Hand23,http://www.dil.ie/14232
Hand23,http://www.dil.ie/15020
Hand23,http://www.dil.ie/8344
Hand23,http://www.dil.ie/21983
Hand23,http://www.dil.ie/39303
Hand23,http://www.dil.ie/8862
Hand23,http://www.dil.ie/10762
Hand23,http://www.dil.ie/22281
Hand23,http://www.dil.ie/32400
Hand23,http://www.dil.ie/9826
Hand23,http://www.dil.ie/10380
Hand23,http://www.dil.ie/21320
Hand23,http://www.dil.ie/27763
Hand23,http://www.dil.ie/24329
Hand23,http://www.dil.ie/13191
Hand23,http://www.dil.ie/11408
Hand23,http://www.dil.ie/40049
Hand23,http://www.dil.ie/29976
Hand23,http://www.dil.ie/27298
Hand23,http://www.dil.ie/27635
Hand23,http://www.dil.ie/11506
Hand23,http://www.dil.ie/6959
Hand23,http://www.dil.ie/7590
Hand23,http://www.dil.ie/39454
Hand23,http://www.dil.ie/14812
Hand23,http://www.dil.ie/22420
Hand23,http://www.dil.ie/8908
Hand23,http://www.dil.ie/29563
Hand23,http://www.dil.ie/10974
Hand23,http://www.dil.ie/33243
Hand23,http://www.dil.ie/3019
Hand23,http://www.dil.ie/1927
Hand23,http://www.dil.ie/27644
Hand23,http://www.dil.ie/33907
Hand23,http://www.dil.ie/5139
Hand23,http://www.dil.ie/33204
Hand23,http://www.dil.ie/32460
Hand23,http://www.dil.ie/21676
Hand23,http://www.dil.ie/33365
Hand23,http://www.dil.ie/41878
Hand23,http://www.dil.ie/31981
Hand23,http://www.dil.ie/32798
Hand23,http://www.dil.ie/2432
Hand23,http://www.dil.ie/7787
Hand23,http://www.dil.ie/32283
Hand23,http://www.dil.ie/13335
Hand23,http://www.dil.ie/34942
Hand23,http://www.dil.ie/9377
Hand23,http://www.dil.ie/9720
Hand23,http://www.dil.ie/8221
Hand23,http://www.dil.ie/13975
Hand23,http://www.dil.ie/30638
Hand23,http://www.dil.ie/29766
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=32CACAFDE83DD07049AF49299C8763CC
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=462BC2A680EC5684B7109A66A3C8E21B
Hand23,http://www.dil.ie/15793
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=4D27812A629C7BA1C79A15A74F5A80B5
Hand23,http://www.dil.ie/18991
Hand23,http://www.dil.ie/38224
Hand23,http://www.dil.ie/12561
Hand23,http://www.dil.ie/36976
Hand23,http://www.dil.ie/24321
Hand23,http://www.dil.ie/21164
Hand23,http://www.dil.ie/24225
Hand23,http://www.dil.ie/23858
Hand23,http://www.dil.ie/18059
Hand23,http://www.dil.ie/13660
Hand23,http://www.dil.ie/30536
Hand23,http://www.dil.ie/17082
Hand23,http://www.dil.ie/6405
Hand23,http://www.dil.ie/15981
Hand23,http://www.dil.ie/18862
Hand23,http://www.dil.ie/30854
Hand23,http://www.dil.ie/29373
Hand23,http://www.dil.ie/25448
Hand23,http://www.dil.ie/5400
Hand23,http://www.dil.ie/12975
Hand23,http://www.dil.ie/29500
Hand23,http://www.dil.ie/9470
Hand23,http://www.dil.ie/26839
Hand23,http://www.dil.ie/30290
Hand23,http://www.dil.ie/42871
Hand23,http://www.dil.ie/18955
Hand23,http://www.dil.ie/30919
Hand23,http://www.dil.ie/22968
Hand23,http://www.dil.ie/31983
Hand23,http://www.dil.ie/26220
Hand23,http://www.dil.ie/29407
Hand23,http://www.dil.ie/26076
Hand23,http://www.dil.ie/14139
Hand23,http://www.dil.ie/38168
Hand23,http://www.dil.ie/15328
Hand23,http://www.dil.ie/8760
Hand23,http://www.dil.ie/26702
Hand23,http://www.dil.ie/19823
Hand23,http://www.dil.ie/17513
Hand23,http://www.dil.ie/26022
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=542AC9EB7F0B34B0A683B116CA2FDC20
Hand23,http://www.dil.ie/3545
Hand23,http://www.dil.ie/8071
Hand23,http://www.dil.ie/29307
Hand23,http://www.dil.ie/25922
Hand23,http://www.dil.ie/37393
Hand23,http://www.dil.ie/34781
Hand23,http://www.dil.ie/35899
Hand23,http://www.dil.ie/38344
Hand23,http://www.dil.ie/37961
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=A15BD078CC29E8C20B5839DDBB2DBB08
Hand23,http://www.dil.ie/9484
Hand23,http://www.dil.ie/13346
Hand23,http://www.dil.ie/35287
Hand23,http://www.dil.ie/11219
Hand23,http://www.dil.ie/22000
Hand23,http://www.dil.ie/28025
Hand23,http://www.dil.ie/39718
Hand23,http://www.dil.ie/42031
Hand23,http://www.dil.ie/41848
Hand23,http://www.dil.ie/29510
Hand23,http://www.dil.ie/30966
Hand23,http://www.dil.ie/30192
Hand23,http://www.dil.ie/6351
Hand23,http://www.dil.ie/15951
Hand23,http://www.dil.ie/9788
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=1C82C678E7D9EE4E6CE09260665C19D6
Hand23,http://www.dil.ie/9680
Hand23,http://www.dil.ie/26408
Hand23,http://www.dil.ie/38857
Hand23,http://www.dil.ie/618
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=E419AE22AADD40F23AE7F91871760725
Hand23,http://www.dil.ie/43210
Hand23,http://www.dil.ie/9550
Hand23,http://www.dil.ie/13402
Hand23,http://www.dil.ie/12497
Hand23,http://www.dil.ie/9748
Hand23,http://www.dil.ie/35078
Hand23,http://www.dil.ie/6275
Hand23,http://www.dil.ie/24626
Hand23,http://www.dil.ie/5299
Hand23,http://www.dil.ie/13016
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=FDBECB278EEC7D2D975028374D3AB37E
Hand23,http://www.dil.ie/10377
Hand23,http://www.dil.ie/7347
Hand23,http://www.dil.ie/19846
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=8DC090BCCC2432C532E123CD11738751
Hand23,http://www.dil.ie/22333
Hand23,http://www.dil.ie/12406
Hand23,http://www.dil.ie/17216
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=5FFED71D412FE446068813962D2DEB33
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=CFC2F34690C95190ECEBCE08F7BAE591
Hand23,http://www.dil.ie/39277
Hand23,http://www.dil.ie/30830
Hand23,http://www.dil.ie/41563
Hand23,http://www.dil.ie/5416
Hand23,http://www.dil.ie/26601
Hand23,http://www.dil.ie/6217
Hand23,http://www.dil.ie/7041
Hand23,http://www.dil.ie/37548
Hand23,http://www.dil.ie/37651
Hand23,http://www.dil.ie/723
Hand23,http://www.dil.ie/336
Hand23,http://www.dil.ie/42605
Hand23,http://www.dil.ie/3331
Hand23,http://www.dil.ie/34318
Hand23,http://www.dil.ie/27636
Hand23,http://www.dil.ie/26145
Hand23,http://www.dil.ie/17097
Hand23,http://www.dil.ie/14787
Hand23,http://www.dil.ie/8787
Hand23,http://www.dil.ie/29968
Hand23,http://www.dil.ie/30826
Hand23,http://www.dil.ie/17646
Hand23,http://www.dil.ie/33483
Hand23,http://www.dil.ie/37186
Hand23,http://www.dil.ie/38140
Hand23,http://www.dil.ie/36201
Hand23,http://www.dil.ie/38131
Hand23,http://www.dil.ie/27239
Hand23,http://www.dil.ie/5657
Hand23,http://www.dil.ie/25099
Hand23,http://www.dil.ie/4248
Hand23,http://www.dil.ie/41064
Hand23,http://www.dil.ie/18480
Hand23,http://www.dil.ie/10494
Hand23,http://www.dil.ie/12753
Hand23,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=5A07CB3AF3293848F927E48205006EDF
Hand23,http://www.dil.ie/37728
Hand23,http://www.dil.ie/16743
Hand23,http://www.dil.ie/18616
Hand23,http://www.dil.ie/35542
Hand23,http://www.dil.ie/41707
Hand23,http://www.dil.ie/42319
