source,target,type
MS5.1,http://www.dil.ie/31164,word
MS5.1,http://www.dil.ie/4927,word
MS5.1,http://www.dil.ie/3,word
MS5.1,http://www.dil.ie/14559,word
MS5.1,http://www.dil.ie/33204,word
MS5.1,http://www.dil.ie/8873,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/14559,word
MS5.1,http://www.dil.ie/25035,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/17646,word
MS5.1,http://www.dil.ie/17097,word
MS5.1,http://www.dil.ie/29507,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=5FA690287CE605F22A5E2626D58A37D4,word
MS5.1,http://www.dil.ie/3,word
MS5.1,http://www.dil.ie/14393,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/32899,word
MS5.1,http://www.dil.ie/37069,word
MS5.1,http://www.dil.ie/22333,word
MS5.1,http://www.dil.ie/37699,word
MS5.1,http://www.dil.ie/25119,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/27284,word
MS5.1,http://www.dil.ie/35998,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/6177,word
MS5.1,http://www.dil.ie/32638,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/25547,word
MS5.1,http://www.dil.ie/7645,word
MS5.1,http://www.dil.ie/18985,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/1898,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/36072,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/978,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/8088,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/978,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=90D38A98AECB864C2453129397F4F378,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/8,word
MS5.1,http://www.dil.ie/30036,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/32250,word
MS5.1,,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/8,word
MS5.1,http://www.dil.ie/30036,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/34291,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/42997,word
MS5.1,http://www.dil.ie/5512,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/42968,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/7138,word
MS5.1,http://www.dil.ie/21154,word
MS5.1,http://www.dil.ie/8,word
MS5.1,http://www.dil.ie/8787,word
MS5.1,http://www.dil.ie/30036,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/1421,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/43199,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/37621,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/24509,word
MS5.1,http://www.dil.ie/29766,word
MS5.1,http://www.dil.ie/41608,word
MS5.1,http://www.dil.ie/3370,word
MS5.1,http://www.dil.ie/25974,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/14812,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/29766,word
MS5.1,http://www.dil.ie/23272,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/39215,word
MS5.1,http://www.dil.ie/25119,word
MS5.1,http://www.dil.ie/24509,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/8485,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/34661,word
MS5.1,,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/24509,word
MS5.1,http://www.dil.ie/29766,word
MS5.1,http://www.dil.ie/35470,word
MS5.1,http://www.dil.ie/3370,word
MS5.1,http://www.dil.ie/25974,word
MS5.1,http://www.dil.ie/19325,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/39285,word
MS5.1,http://www.dil.ie/29104,word
MS5.1,http://www.dil.ie/35126,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/36709,word
MS5.1,http://www.dil.ie/13660,word
MS5.1,http://www.dil.ie/43199,word
MS5.1,http://www.dil.ie/19115,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/8622,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/29766,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/27721,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/31438,word
MS5.1,http://www.dil.ie/24329,word
MS5.1,http://www.dil.ie/25035,word
MS5.1,http://www.dil.ie/29104,word
MS5.1,http://www.dil.ie/17099,word
MS5.1,http://www.dil.ie/14869,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/25293,word
MS5.1,http://www.dil.ie/24640,word
MS5.1,http://www.dil.ie/6611,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=02F16934B54964289799F4A9F9EE647E,word
MS5.1,http://www.dil.ie/29104,word
MS5.1,http://www.dil.ie/19325,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/25293,word
MS5.1,http://www.dil.ie/32909,word
MS5.1,,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/36271,word
MS5.1,,word
MS5.1,,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,http://www.dil.ie/4927,word
MS5.1,,word
MS5.1,http://www.dil.ie/37567,word
MS5.1,,word
MS5.1,,word
MS5.1,,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,http://www.dil.ie/8485,word
MS5.1,http://www.dil.ie/31720,word
MS5.1,,word
MS5.1,,word
MS5.1,,word
MS5.1,http://www.dil.ie/13749,word
MS5.1,http://www.dil.ie/32548,word
MS5.1,http://www.dil.ie/5644,word
MS5.1,,word
MS5.1,http://www.dil.ie/9787,word
MS5.1,http://www.dil.ie/32340,word
MS5.1,,word
MS5.1,,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/8309,word
MS5.1,http://www.dil.ie/24792,word
MS5.1,http://www.dil.ie/23528,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/25277,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,http://www.dil.ie/41914,word
MS5.1,http://www.dil.ie/34869,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/25293,word
MS5.1,http://www.dil.ie/35191,word
MS5.1,http://www.dil.ie/17098,word
MS5.1,http://www.dil.ie/25119,word
MS5.1,http://www.dil.ie/7528,word
MS5.1,http://www.dil.ie/42968,word
MS5.1,http://www.dil.ie/26495,word
MS5.1,http://www.dil.ie/34869,word
MS5.1,http://www.dil.ie/25293,word
MS5.1,http://www.dil.ie/14787,word
MS5.1,,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/18059,word
MS5.1,http://www.dil.ie/200,word
MS5.1,http://www.dil.ie/29104,word
MS5.1,http://www.dil.ie/19657,word
MS5.1,http://www.dil.ie/26891,word
MS5.1,http://www.dil.ie/4927,word
MS5.1,http://www.dil.ie/22333,word
MS5.1,http://www.dil.ie/37834,word
MS5.1,http://www.dil.ie/43063,word
MS5.1,http://www.dil.ie/22333,word
MS5.1,http://www.dil.ie/15783,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/29890,word
MS5.1,http://www.dil.ie/28651,word
MS5.1,http://www.dil.ie/28194,word
MS5.1,http://www.dil.ie/25843,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/41060,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/8581,word
MS5.1,http://www.dil.ie/29249,word
MS5.1,http://www.dil.ie/17096,word
MS5.1,http://www.dil.ie/15474,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/3,word
MS5.1,http://www.dil.ie/39363,word
MS5.1,http://www.dil.ie/14080,word
MS5.1,http://www.dil.ie/15976,word
MS5.1,http://www.dil.ie/33484,word
MS5.1,http://www.dil.ie/15848,word
MS5.1,http://www.dil.ie/18124,word
MS5.1,http://www.dil.ie/31705,word
MS5.1,http://www.dil.ie/3902,word
MS5.1,https://www.faclair.com/ViewDictionaryEntry.aspx?ID=67E39CCAA536776DC8195BA037DC0832,word
MS5.1,http://www.dil.ie/20176,word
MS5.1,http://www.dil.ie/13660,word
MS5.1,http://www.dil.ie/15847,word
MS5.1,http://www.dil.ie/9786,word
