source,target,type
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/15847,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/13717,word
MS1.2,http://www.dil.ie/35181,word
MS1.2,http://www.dil.ie/26891,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/14080,word
MS1.2,http://www.dil.ie/14084,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/31166,word
MS1.2,http://www.dil.ie/35364,word
MS1.2,http://www.dil.ie/5172,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/42968,word
MS1.2,http://www.dil.ie/27181,word
MS1.2,,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/3902,word
MS1.2,http://www.dil.ie/39363,word
MS1.2,http://www.dil.ie/3,word
MS1.2,http://www.dil.ie/42332,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/35364,word
MS1.2,http://www.dil.ie/5172,word
MS1.2,http://www.dil.ie/3902,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/10380,word
MS1.2,http://www.dil.ie/8944,word
MS1.2,http://www.dil.ie/3,word
MS1.2,http://www.dil.ie/13717,word
MS1.2,http://www.dil.ie/41302,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/34594,word
MS1.2,http://www.dil.ie/8862,word
MS1.2,http://www.dil.ie/7528,word
MS1.2,http://www.dil.ie/33316,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/7528,word
MS1.2,http://www.dil.ie/8309,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/15847,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17752,word
MS1.2,http://www.dil.ie/978,word
MS1.2,http://www.dil.ie/5597,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/7776,word
MS1.2,http://www.dil.ie/12189,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/5597,word
MS1.2,http://www.dil.ie/20789,word
MS1.2,http://www.dil.ie/14080,word
MS1.2,http://www.dil.ie/17098,word
MS1.2,http://www.dil.ie/17216,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/15847,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/17096,word
MS1.2,http://www.dil.ie/35364,word
MS1.2,http://www.dil.ie/5172,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/42968,word
MS1.2,http://www.dil.ie/27181,word
MS1.2,http://www.dil.ie/24329,word
MS1.2,http://www.dil.ie/15847,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/24329,word
MS1.2,http://www.dil.ie/18823,word
MS1.2,http://www.dil.ie/33364,word
MS1.2,http://www.dil.ie/41302,word
MS1.2,http://www.dil.ie/9786,word
MS1.2,http://www.dil.ie/15251,word
MS1.2,http://www.dil.ie/26891,word
MS1.2,http://www.dil.ie/36041,word
MS1.2,http://www.dil.ie/33364,word
MS1.2,http://www.dil.ie/32580,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/33364,word
MS1.2,http://www.dil.ie/41302,word
MS1.2,http://www.dil.ie/9786,word
MS1.2,http://www.dil.ie/29234,word
MS1.2,http://www.dil.ie/6579,word
MS1.2,http://www.dil.ie/33484,word
MS1.2,http://www.dil.ie/5661,word
MS1.2,http://www.dil.ie/28194,word
MS1.2,http://www.dil.ie/10173,word
MS1.2,http://www.dil.ie/7528,word
