source,target,type,relationship
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/13717,directed,word
MS1.2,http://www.dil.ie/32580,directed,word
MS1.2,http://www.dil.ie/26891,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/13717,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/15847,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/13717,directed,word
MS1.2,http://www.dil.ie/35181,directed,word
MS1.2,http://www.dil.ie/26891,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/14080,directed,word
MS1.2,http://www.dil.ie/14084,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/31166,directed,word
MS1.2,http://www.dil.ie/35364,directed,word
MS1.2,http://www.dil.ie/5172,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/42968,directed,word
MS1.2,http://www.dil.ie/27181,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/3902,directed,word
MS1.2,http://www.dil.ie/39363,directed,word
MS1.2,http://www.dil.ie/3,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/35364,directed,word
MS1.2,http://www.dil.ie/5172,directed,word
MS1.2,http://www.dil.ie/3902,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/10380,directed,word
MS1.2,http://www.dil.ie/8944,directed,word
MS1.2,http://www.dil.ie/3,directed,word
MS1.2,http://www.dil.ie/13717,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/34594,directed,word
MS1.2,http://www.dil.ie/8862,directed,word
MS1.2,http://www.dil.ie/7528,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/7528,directed,word
MS1.2,http://www.dil.ie/8309,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/15847,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17752,directed,word
MS1.2,http://www.dil.ie/978,directed,word
MS1.2,http://www.dil.ie/5597,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/12189,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/5597,directed,word
MS1.2,http://www.dil.ie/20789,directed,word
MS1.2,http://www.dil.ie/14080,directed,word
MS1.2,http://www.dil.ie/17098,directed,word
MS1.2,http://www.dil.ie/17216,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/15847,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/35364,directed,word
MS1.2,http://www.dil.ie/5172,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/42968,directed,word
MS1.2,http://www.dil.ie/27181,directed,word
MS1.2,http://www.dil.ie/24329,directed,word
MS1.2,http://www.dil.ie/15847,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/24329,directed,word
MS1.2,http://www.dil.ie/18823,directed,word
MS1.2,http://www.dil.ie/33364,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/9786,directed,word
MS1.2,http://www.dil.ie/15251,directed,word
MS1.2,http://www.dil.ie/26891,directed,word
MS1.2,http://www.dil.ie/36041,directed,word
MS1.2,http://www.dil.ie/33364,directed,word
MS1.2,http://www.dil.ie/32580,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/33364,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/9786,directed,word
MS1.2,http://www.dil.ie/29234,directed,word
MS1.2,http://www.dil.ie/6579,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/5661,directed,word
MS1.2,http://www.dil.ie/28194,directed,word
MS1.2,http://www.dil.ie/10173,directed,word
MS1.2,http://www.dil.ie/7528,directed,word
MS1.2,http://www.dil.ie/32580,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/3902,directed,word
MS1.2,http://www.dil.ie/7528,directed,word
MS1.2,http://www.dil.ie/41302,directed,word
MS1.2,http://www.dil.ie/10713,directed,word
MS1.2,http://www.dil.ie/33484,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/37503,directed,word
MS1.2,http://www.dil.ie/17096,directed,word
MS1.2,http://www.dil.ie/19846,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/28651,directed,word
MS1.3,http://www.dil.ie/17098,directed,word
MS1.3,http://www.dil.ie/17216,directed,word
MS1.3,http://www.dil.ie/24329,directed,word
MS1.3,http://www.dil.ie/19585,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/3887,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/17096,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/17096,directed,word
MS1.3,http://www.dil.ie/18823,directed,word
MS1.3,http://www.dil.ie/35899,directed,word
MS1.3,http://www.dil.ie/33364,directed,word
MS1.3,http://www.dil.ie/28194,directed,word
MS1.3,http://www.dil.ie/42968,directed,word
MS1.3,http://www.dil.ie/9787,directed,word
MS1.3,http://www.dil.ie/3,directed,word
MS1.3,http://www.dil.ie/17096,directed,word
MS1.3,http://www.dil.ie/20188,directed,word
MS1.3,http://www.dil.ie/26891,directed,word
MS1.3,http://www.dil.ie/33452,directed,word
MS1.3,http://www.dil.ie/6133,directed,word
MS1.3,http://www.dil.ie/35283,directed,word
MS1.3,http://www.dil.ie/20188,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/3853,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/32580,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/6699,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/21665,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.3,http://www.dil.ie/33484,directed,word
MS1.3,http://www.dil.ie/31166,directed,word
MS1.4,http://www.dil.ie/17098,directed,word
MS1.4,http://www.dil.ie/17216,directed,word
MS1.4,http://www.dil.ie/33484,directed,word
MS1.4,http://www.dil.ie/28651,directed,word
MS1.4,http://www.dil.ie/5299,directed,word
MS1.4,http://www.dil.ie/18059,directed,word
MS1.4,http://www.dil.ie/26891,directed,word
MS1.4,http://www.dil.ie/17096,directed,word
MS1.4,http://www.dil.ie/33484,directed,word
MS1.4,http://www.dil.ie/17096,directed,word
MS1.4,http://www.dil.ie/33484,directed,word
MS1.4,http://www.dil.ie/35846,directed,word
MS1.4,http://www.dil.ie/33484,directed,word
MS1.4,http://www.dil.ie/31166,directed,word
MS1.4,http://www.dil.ie/33484,directed,word
MS1.4,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/17098,directed,word
MS1.5,http://www.dil.ie/17216,directed,word
MS1.5,http://www.dil.ie/17096,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/17096,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/17096,directed,word
MS1.5,http://www.dil.ie/26891,directed,word
MS1.5,http://www.dil.ie/36041,directed,word
MS1.5,http://www.dil.ie/9786,directed,word
MS1.5,http://www.dil.ie/6579,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/33484,directed,word
MS1.5,http://www.dil.ie/31166,directed,word
MS1.5,http://www.dil.ie/26891,directed,word
MS1.5,http://www.dil.ie/3,directed,word
